Year,Jurisdiction,RaceEth,Gender,Mean,SE
2003,Pennsylvania,Black,Male,247.35,2.52
2003,Pennsylvania,Hispanic,Male,NA,NA
2003,Puerto Rico,Black,All,NA,NA
2003,Puerto Rico,Hispanic,All,NA,NA
2003,Puerto Rico,Black,Female,NA,NA
2003,Puerto Rico,Hispanic,Female,NA,NA
2003,Puerto Rico,Black,Male,NA,NA
2003,Puerto Rico,Hispanic,Male,NA,NA
2003,Rhode Island,Black,All,244,2.77
2003,Rhode Island,Hispanic,All,244.75,2.05
2003,Rhode Island,Black,Female,244.22,3.23
2003,Rhode Island,Hispanic,Female,246.4,2.88
2003,Rhode Island,Black,Male,243.75,4.01
2003,Rhode Island,Hispanic,Male,243.38,2.8299999999999996
2003,South Carolina,Black,All,258.11,1.57
2003,South Carolina,Hispanic,All,NA,NA
2003,South Carolina,Black,Female,257.05,1.82
2003,South Carolina,Hispanic,Female,NA,NA
2003,South Carolina,Black,Male,259.29,1.77
2003,South Carolina,Hispanic,Male,NA,NA
2003,South Dakota,Black,All,NA,NA
2003,South Dakota,Hispanic,All,NA,NA
2003,South Dakota,Black,Female,NA,NA
2003,South Dakota,Hispanic,Female,NA,NA
2003,South Dakota,Black,Male,NA,NA
2003,South Dakota,Hispanic,Male,NA,NA
2003,Tennessee,Black,All,241.68,2.4699999999999998
2003,Tennessee,Hispanic,All,NA,NA
2003,Tennessee,Black,Female,241.17,3.19
2003,Tennessee,Hispanic,Female,NA,NA
2003,Tennessee,Black,Male,242.12,3.1
2003,Tennessee,Hispanic,Male,NA,NA
2003,Texas,Black,All,259.75,2.2
2003,Texas,Hispanic,All,266.85,1.1700000000000002
2003,Texas,Black,Female,260.5,2.46
2003,Texas,Hispanic,Female,264.85,1.1500000000000001
2003,Texas,Black,Male,258.96,2.7800000000000002
2003,Texas,Hispanic,Male,268.88,1.8
2003,Utah,Black,All,NA,NA
2003,Utah,Hispanic,All,248.81,2.9499999999999997
2003,Utah,Black,Female,NA,NA
2003,Utah,Hispanic,Female,250.94,4.1899999999999995
2003,Utah,Black,Male,NA,NA
2003,Utah,Hispanic,Male,246.87,3.96
2003,Vermont,Black,All,NA,NA
2003,Vermont,Hispanic,All,NA,NA
2003,Vermont,Black,Female,NA,NA
2003,Vermont,Hispanic,Female,NA,NA
2003,Vermont,Black,Male,NA,NA
2003,Vermont,Hispanic,Male,NA,NA
2003,Virginia,Black,All,261.88,1.12
2003,Virginia,Hispanic,All,268.43,3.96
2003,Virginia,Black,Female,262.71,1.92
2003,Virginia,Hispanic,Female,266.02,6.1
2003,Virginia,Black,Male,261.02,1.44
2003,Virginia,Hispanic,Male,NA,NA
2003,Washington,Black,All,262.49,3.13
2003,Washington,Hispanic,All,263.3,2.9699999999999998
2003,Washington,Black,Female,260.42,4.99
2003,Washington,Hispanic,Female,261.09,4.14
2003,Washington,Black,Male,264.45,4.58
2003,Washington,Hispanic,Male,265.65,4.5
2003,West Virginia,Black,All,253.08,3.96
2003,West Virginia,Hispanic,All,NA,NA
2003,West Virginia,Black,Female,NA,NA
2003,West Virginia,Hispanic,Female,NA,NA
2003,West Virginia,Black,Male,NA,NA
2003,West Virginia,Hispanic,Male,NA,NA
2003,Wisconsin,Black,All,241.1,3.96
2003,Wisconsin,Hispanic,All,261.82,3.9899999999999998
2003,Wisconsin,Black,Female,240.6,4.54
2003,Wisconsin,Hispanic,Female,NA,NA
2003,Wisconsin,Black,Male,241.61,6
2003,Wisconsin,Hispanic,Male,NA,NA
2003,Wyoming,Black,All,NA,NA
2003,Wyoming,Hispanic,All,265.33,2.22
2003,Wyoming,Black,Female,NA,NA
2003,Wyoming,Hispanic,Female,268.38,4.44
2003,Wyoming,Black,Male,NA,NA
2003,Wyoming,Hispanic,Male,263.1,3
2005,Alabama,Black,All,239.96,1.77
2005,Alabama,Hispanic,All,NA,NA
2005,Alabama,Black,Female,242.57,1.8
2005,Alabama,Hispanic,Female,NA,NA
2005,Alabama,Black,Male,237.18,2.42
2005,Alabama,Hispanic,Male,NA,NA
2005,Alaska,Black,All,266.19,3.01
2005,Alaska,Hispanic,All,271.77,3.42
2005,Alaska,Black,Female,266.91,4.109999999999999
2005,Alaska,Hispanic,Female,NA,NA
2005,Alaska,Black,Male,265.4,4.54
2005,Alaska,Hispanic,Male,NA,NA
2005,Arizona,Black,All,260.93,2.71
2005,Arizona,Hispanic,All,259.97,1.42
2005,Arizona,Black,Female,262.03,5.03
2005,Arizona,Hispanic,Female,259.79,1.72
2005,Arizona,Black,Male,260.03,4.619999999999999
2005,Arizona,Hispanic,Male,260.16,1.81
2005,Arkansas,Black,All,242.84,1.57
2005,Arkansas,Hispanic,All,266.32,4.03
2005,Arkansas,Black,Female,247.15,2.12
2005,Arkansas,Hispanic,Female,NA,NA
2005,Arkansas,Black,Male,238.49,2.3099999999999996
2005,Arkansas,Hispanic,Male,NA,NA
2005,California,Black,All,248.08,1.57
2005,California,Hispanic,All,254.2,0.69
2005,California,Black,Female,249.08,1.85
2005,California,Hispanic,Female,254.27,0.91
2005,California,Black,Male,247.02,2.24
2005,California,Hispanic,Male,254.13,1
2005,Colorado,Black,All,255.79,3.08
2005,Colorado,Hispanic,All,260.16,1.91
2005,Colorado,Black,Female,259.81,3.23
2005,Colorado,Hispanic,Female,257.84,2.13
2005,Colorado,Black,Male,252.15,5
2005,Colorado,Hispanic,Male,262.85,2.7600000000000002
2005,Connecticut,Black,All,249.47,2.67
2005,Connecticut,Hispanic,All,254.13,2.7800000000000002
2005,Connecticut,Black,Female,250.33,4.03
2005,Connecticut,Hispanic,Female,253.85,3.16
2005,Connecticut,Black,Male,248.75,3
2005,Connecticut,Hispanic,Male,254.45,3.4099999999999997
2005,Delaware,Black,All,264.43,0.97
2005,Delaware,Hispanic,All,268.03,2.19
2005,Delaware,Black,Female,262.95,1.11
2005,Delaware,Hispanic,Female,269.64,2.56
2005,Delaware,Black,Male,266.13,1.55
2005,Delaware,Hispanic,Male,266.45,3.57
2005,District of Columbia,Black,All,241.16,0.9500000000000001
2005,District of Columbia,Hispanic,All,252.06,2.98
2005,District of Columbia,Black,Female,241.76,1.29
2005,District of Columbia,Hispanic,Female,245.63,3.8099999999999996
2005,District of Columbia,Black,Male,240.49,1.36
2005,District of Columbia,Hispanic,Male,258.98,4.79
2005,DoDEA,Black,All,267.43,1.46
2005,DoDEA,Hispanic,All,279.86,2.17
2005,DoDEA,Black,Female,265.09,2.29
2005,DoDEA,Hispanic,Female,280.46,3.42
2005,DoDEA,Black,Male,269.91,2.4299999999999997
2005,DoDEA,Hispanic,Male,279.41,2.77
2005,Florida,Black,All,250.99,1.79
2005,Florida,Hispanic,All,264.88,1.9
2005,Florida,Black,Female,250.84,2.46
2005,Florida,Hispanic,Female,264.08,2.62
2005,Florida,Black,Male,251.16,2.08
2005,Florida,Hispanic,Male,265.68,1.99
2005,Georgia,Black,All,255.29,1.4
2005,Georgia,Hispanic,All,257.5,3.02
2005,Georgia,Black,Female,254.46,1.59
2005,Georgia,Hispanic,Female,256.41,4.59
2005,Georgia,Black,Male,256.15,1.7
2005,Georgia,Hispanic,Male,258.54,4.28
2005,Hawaii,Black,All,NA,NA
2005,Hawaii,Hispanic,All,257.13,5.08
2005,Hawaii,Black,Female,NA,NA
2005,Hawaii,Hispanic,Female,NA,NA
2005,Hawaii,Black,Male,NA,NA
2005,Hawaii,Hispanic,Male,NA,NA
2005,Idaho,Black,All,NA,NA
2005,Idaho,Hispanic,All,260.75,2.07
2005,Idaho,Black,Female,NA,NA
2005,Idaho,Hispanic,Female,260.68,2.84
2005,Idaho,Black,Male,NA,NA
2005,Idaho,Hispanic,Male,260.81,3
2005,Illinois,Black,All,248.8,1.6900000000000002
2005,Illinois,Hispanic,All,265.2,1.46
2005,Illinois,Black,Female,248.56,1.87
2005,Illinois,Hispanic,Female,263.5,1.96
2005,Illinois,Black,Male,249.07,2.4499999999999997
2005,Illinois,Hispanic,Male,266.95,1.93
2005,Indiana,Black,All,256.97,2.63
2005,Indiana,Hispanic,All,260.86,3.96
2005,Indiana,Black,Female,258.56,3.22
2005,Indiana,Hispanic,Female,NA,NA
2005,Indiana,Black,Male,255.14,3.54
2005,Indiana,Hispanic,Male,NA,NA
2005,Iowa,Black,All,256.19,5.13
2005,Iowa,Hispanic,All,264.03,3.23
2005,Iowa,Black,Female,NA,NA
2005,Iowa,Hispanic,Female,NA,NA
2005,Iowa,Black,Male,NA,NA
2005,Iowa,Hispanic,Male,267.08,3.84
2005,Kansas,Black,All,256.07,4.45
2005,Kansas,Hispanic,All,265.63,2.51
2005,Kansas,Black,Female,258.46,4.51
2005,Kansas,Hispanic,Female,263.5,4.26
2005,Kansas,Black,Male,253.25,6.73
2005,Kansas,Hispanic,Male,267.27,2.9899999999999998
2005,Kentucky,Black,All,255.22,2.42
2005,Kentucky,Hispanic,All,NA,NA
2005,Kentucky,Black,Female,255.53,3.2600000000000002
2005,Kentucky,Hispanic,Female,NA,NA
2005,Kentucky,Black,Male,254.97,2.9499999999999997
2005,Kentucky,Hispanic,Male,NA,NA
2005,Louisiana,Black,All,251.76,1.6400000000000001
2005,Louisiana,Hispanic,All,NA,NA
2005,Louisiana,Black,Female,253.03,2.07
2005,Louisiana,Hispanic,Female,NA,NA
2005,Louisiana,Black,Male,250.46,1.76
2005,Louisiana,Hispanic,Male,NA,NA
2005,Maine,Black,All,NA,NA
2005,Maine,Hispanic,All,NA,NA
2005,Maine,Black,Female,NA,NA
2005,Maine,Hispanic,Female,NA,NA
2005,Maine,Black,Male,NA,NA
2005,Maine,Hispanic,Male,NA,NA
2005,Maryland,Black,All,258.49,1.37
2005,Maryland,Hispanic,All,262.09,4.859999999999999
2005,Maryland,Black,Female,258.79,1.6900000000000002
2005,Maryland,Hispanic,Female,263.01,7.970000000000001
2005,Maryland,Black,Male,258.17,1.98
2005,Maryland,Hispanic,Male,NA,NA
2005,Massachusetts,Black,All,262.53,2.65
2005,Massachusetts,Hispanic,All,264.66,1.49
2005,Massachusetts,Black,Female,267.74,3.4499999999999997
2005,Massachusetts,Hispanic,Female,265.45,1.94
2005,Massachusetts,Black,Male,256.96,2.9299999999999997
2005,Massachusetts,Hispanic,Male,264,2.3699999999999997
2005,Michigan,Black,All,247.49,2.02
2005,Michigan,Hispanic,All,265.02,3.7800000000000002
2005,Michigan,Black,Female,244.63,2.92
2005,Michigan,Hispanic,Female,NA,NA
2005,Michigan,Black,Male,250.91,1.91
2005,Michigan,Hispanic,Male,NA,NA
2005,Minnesota,Black,All,250.7,1.98
2005,Minnesota,Hispanic,All,262.59,4.07
2005,Minnesota,Black,Female,254.49,3.4
2005,Minnesota,Hispanic,Female,NA,NA
2005,Minnesota,Black,Male,247.61,3.14
2005,Minnesota,Hispanic,Male,NA,NA
2005,Mississippi,Black,All,247.23,1.32
2005,Mississippi,Hispanic,All,NA,NA
2005,Mississippi,Black,Female,249.08,1.34
2005,Mississippi,Hispanic,Female,NA,NA
2005,Mississippi,Black,Male,245.1,1.98
2005,Mississippi,Hispanic,Male,NA,NA
2005,Missouri,Black,All,247.39,1.8800000000000001
2005,Missouri,Hispanic,All,NA,NA
2005,Missouri,Black,Female,246.85,2.2600000000000002
2005,Missouri,Hispanic,Female,NA,NA
2005,Missouri,Black,Male,247.95,2.3699999999999997
2005,Missouri,Hispanic,Male,NA,NA
2005,Montana,Black,All,NA,NA
2005,Montana,Hispanic,All,NA,NA
2005,Montana,Black,Female,NA,NA
2005,Montana,Hispanic,Female,NA,NA
2005,Montana,Black,Male,NA,NA
2005,Montana,Hispanic,Male,NA,NA
2005,National public,Black,All,254.18,0.41000000000000003
2005,National public,Hispanic,All,261.08,0.43000000000000005
2005,National public,Black,Female,254.59,0.52
2005,National public,Hispanic,Female,260.24,0.48000000000000004
2005,National public,Black,Male,253.75,0.51
2005,National public,Hispanic,Male,261.92,0.61
2005,Nebraska,Black,All,243.39,2.2800000000000002
2005,Nebraska,Hispanic,All,261.49,2.21
2005,Nebraska,Black,Female,244.85,2.96
2005,Nebraska,Hispanic,Female,260.83,3.29
2005,Nebraska,Black,Male,241.78,4.28
2005,Nebraska,Hispanic,Male,262.11,2.8699999999999997
2005,Nevada,Black,All,247.1,2.5
2005,Nevada,Hispanic,All,255.9,1.32
2005,Nevada,Black,Female,248.24,3.3699999999999997
2005,Nevada,Hispanic,Female,256.45,1.85
2005,Nevada,Black,Male,245.78,3.04
2005,Nevada,Hispanic,Male,255.39,1.9
2005,New Hampshire,Black,All,NA,NA
2005,New Hampshire,Hispanic,All,NA,NA
2005,New Hampshire,Black,Female,NA,NA
2005,New Hampshire,Hispanic,Female,NA,NA
2005,New Hampshire,Black,Male,NA,NA
2005,New Hampshire,Hispanic,Male,NA,NA
2005,New Jersey,Black,All,259.64,2.5
2005,New Jersey,Hispanic,All,264.23,2.11
2005,New Jersey,Black,Female,259.66,2.8299999999999996
2005,New Jersey,Hispanic,Female,262.27,2.8699999999999997
2005,New Jersey,Black,Male,259.63,3.3699999999999997
2005,New Jersey,Hispanic,Male,266.07,2.7800000000000002
2005,New Mexico,Black,All,256.65,5.619999999999999
2005,New Mexico,Hispanic,All,255.37,1.28
2005,New Mexico,Black,Female,NA,NA
2005,New Mexico,Hispanic,Female,253.88,1.52
2005,New Mexico,Black,Male,NA,NA
2005,New Mexico,Hispanic,Male,256.92,1.6400000000000001
2005,New York,Black,All,258.72,1.85
2005,New York,Hispanic,All,262.04,1.76
2005,New York,Black,Female,260.88,2.8
2005,New York,Hispanic,Female,262.1,2.5
2005,New York,Black,Male,256.5,1.96
2005,New York,Hispanic,Male,261.98,2.24
2005,North Carolina,Black,All,263.42,1.22
2005,North Carolina,Hispanic,All,265.4,2.74
2005,North Carolina,Black,Female,263.5,1.62
2005,North Carolina,Hispanic,Female,268.65,3.77
2005,North Carolina,Black,Male,263.34,1.73
2005,North Carolina,Hispanic,Male,262.33,3.3
2005,North Dakota,Black,All,NA,NA
2005,North Dakota,Hispanic,All,NA,NA
2005,North Dakota,Black,Female,NA,NA
2005,North Dakota,Hispanic,Female,NA,NA
2005,North Dakota,Black,Male,NA,NA
2005,North Dakota,Hispanic,Male,NA,NA
2005,Ohio,Black,All,255.16,2.12
2005,Ohio,Hispanic,All,259.38,5.85
2005,Ohio,Black,Female,254.08,2.32
2005,Ohio,Hispanic,Female,NA,NA
2005,Ohio,Black,Male,256.33,3.02
2005,Ohio,Hispanic,Male,NA,NA
2005,Oklahoma,Black,All,248.73,2.3
2005,Oklahoma,Hispanic,All,257,3.69
2005,Oklahoma,Black,Female,250.8,2.63
2005,Oklahoma,Hispanic,Female,256.61,4.21
2005,Oklahoma,Black,Male,246.48,3.96
2005,Oklahoma,Hispanic,Male,257.37,4.13
2005,Oregon,Black,All,257.53,5.05
2005,Oregon,Hispanic,All,256.6,2.36
2005,Oregon,Black,Female,NA,NA
2005,Oregon,Hispanic,Female,258.37,3.52
2005,Oregon,Black,Male,NA,NA
2005,Oregon,Hispanic,Male,254.82,3.23
2005,Pennsylvania,Black,All,249.96,3.3699999999999997
2005,Pennsylvania,Hispanic,All,267.02,2.88
2005,Pennsylvania,Black,Female,247.98,3.79
2005,Pennsylvania,Hispanic,Female,265.2,3.58
2005,Pennsylvania,Black,Male,252.06,4.04
2005,Pennsylvania,Hispanic,Male,268.71,4.91
2005,Puerto Rico,Black,All,NA,NA
2005,Puerto Rico,Hispanic,All,NA,NA
2005,Puerto Rico,Black,Female,NA,NA
2005,Puerto Rico,Hispanic,Female,NA,NA
2005,Puerto Rico,Black,Male,NA,NA
2005,Puerto Rico,Hispanic,Male,NA,NA
2005,Rhode Island,Black,All,248.78,2.77
2005,Rhode Island,Hispanic,All,243.53,1.83
